Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,47,4590,3347,2548,253,644,3,599,3017,15,100
C:\Users\pc\Desktop\General Business Game\app\src\main,47,4590,3347,2548,253,644,3,599,3017,15,100
C:\Users\pc\Desktop\General Business Game\app\src\main\java,47,4590,3347,2548,253,644,3,599,3017,15,100
C:\Users\pc\Desktop\General Business Game\app\src\main\java\fyp,47,4590,3347,2548,253,644,3,599,3017,15,100
C:\Users\pc\Desktop\General Business Game\app\src\main\java\fyp\generalbusinessgame,47,4590,3347,2548,253,644,3,599,3017,15,100
C:\Users\pc\Desktop\General Business Game\app\src\main\java\fyp\generalbusinessgame\Activity,20,3753,2787,2099,204,501,1,465,2474,0,0
C:\Users\pc\Desktop\General Business Game\app\src\main\java\fyp\generalbusinessgame\Activity\dummy,1,73,44,33,5,13,0,16,67,0,0
C:\Users\pc\Desktop\General Business Game\app\src\main\java\fyp\generalbusinessgame\Models,19,333,204,172,1,75,0,54,144,0,0
C:\Users\pc\Desktop\General Business Game\app\src\main\java\fyp\generalbusinessgame\Service,8,504,356,277,48,68,2,80,399,15,100
